	Tax.richness	MGE.nearARG.percell	ARG.percell	ARG.PC1	Efflux	Inactivation	Target.alteration	Air_temperature_of_sampling_month	pH	FM	Population	DO	Sludge_Age	BOD.removal.percentage	COD.removal.percentage	NH4.Nremoval.percentage	TNremoval.percentage	TPremoval.percentage
CNXA4C	1225	0.273757437	4.734694591	-0.112819519	0.726173711	2.468981342	1.343094999	29.11	7.5	0.035010697	8580800	0.9	16	0.91	0.93	0.964285714	0.776470588	0.742857143
CNXM1C	1180	0.159721122	3.465611942	-0.125945623	0.485976956	1.835942486	0.996731912	29.39	7.04	0.0289	3715900	1.03	10	0.941176471	0.92	0.875	0.74	0.727272727
CNXM3C	1105	0.338843929	3.569202965	-0.075733313	0.405246424	2.008028956	1.067487152	29.39	7.1	0.229453593	3715900	1.37	15	0.894117647	0.908333333	0.96	0.757142857	0.87
USAK1D3	658	0.037318269	2.039405909	-0.062512949	0.294780415	1.190492119	0.507652152	8	6.7	0.759617093	110293.5198	10.6	22	0.8625	NA	0.324074074	NA	NA
CNXM4C	1168	0.146738777	3.6461831	-0.098112098	0.539808651	2.115659497	0.843628533	29.39	7.09	0.19296741	3715900	1.98	16.5	0.905714286	0.9	0.938461538	0.6875	0.52
USAK2D	645	0.042847317	2.047205401	-0.09445798	0.31407998	1.178749424	0.506005301	8	6.8	0.748202082	110293.5198	10.1	22	0.8625	NA	0.324074074	NA	NA
COCL1B	818	0.485198249	4.396556379	0.024840647	0.856475376	2.216580476	1.178604135	29	6.89	NA	4613684	2.52	90	0.975868726	0.975342466	NA	NA	NA
AUBR2A	1107	0.015958195	2.953898539	0.047029914	0.477731345	1.516884618	0.931112788	24	6.8	0.119609349	2294900	0.25	21	0.98470948	0.972375691	0.946226415	0.929850746	0.9
AUBR2B	1164	0.01650359	3.001720495	0.055517622	0.398425761	1.399177997	1.159963184	24	6.8	0.119609349	2294900	1.4	21	0.98470948	0.972375691	0.946226415	0.929850746	0.9
AUBR2C	1217	0.053310165	3.987592848	0.025564507	0.64527829	1.893560827	1.396780393	24	6.8	0.119609349	2294900	0.3	21	0.98470948	0.972375691	0.946226415	0.929850746	0.9
AUCR2A	990	0.033665598	3.002393692	0.050194784	0.540340021	1.625248988	0.810560519	27	6.7	0.490552326	158835	1.34	16	0.993333333	NA	0.997142857	0.9375	0.985507246
AUCR2B	953	0.045446507	2.964848142	-0.10766528	0.413646099	1.860262257	0.632461319	27	6.7	0.490552326	158835	1.34	16	0.993333333	NA	0.997142857	0.9375	0.985507246
AUEP2AB	1230	0.00920782	3.386821565	0.06136725	0.326578239	1.998134784	1.042559311	23	7.5	NA	1309700	1.75	15	0.98	0.587628866	0.985294118	0.836363636	NA
AUEP2AC	1216	0.011443259	3.531293684	0.065570841	0.34280107	2.06611787	1.107036412	23	7.5	NA	1309700	1.75	15	0.98	0.587628866	0.985294118	0.836363636	NA
AUEP2BC	1105	0.126555132	3.592863228	0.036782248	0.567022613	1.818910882	1.135022729	23	7.5	NA	1309700	1.75	15	0.98	0.587628866	0.985294118	0.836363636	NA
AUXP4AA	1330	0.060599357	4.689721856	0.087604952	0.82376408	2.517396607	1.2868963	22	7.2	0.013539627	4820700	1.5	25	0.988235294	NA	0.999456522	0.897473684	0.996969697
AUXP4AB	1640	0.032726048	4.639541659	0.071447431	0.827650371	2.473511817	1.271113671	22	7.2	0.013539627	4820700	1.5	25	0.988235294	NA	0.999456522	0.897473684	0.996969697
AUXP4AC	616	0.063624314	1.976510363	-0.0328663	0.006204231	1.723050962	0.189111415	22	7.2	0.013539627	4820700	1.5	25	0.988235294	NA	0.999456522	0.897473684	0.996969697
BRBH1C	1042	0.091295371	3.677415169	-0.091027665	0.467336608	1.937065089	1.175772747	27	7.4	NA	5595800	1.2	6	0.860714286	0.813242784	0.542277691	0.588845117	0.491603053
BRBH3C	1051	0.205368411	4.196783254	-0.087917193	0.64661458	2.117533381	1.277010311	27	7.4	NA	5595800	1.7	6	0.860714286	0.813242784	0.542277691	0.588845117	0.491603053
BRBH4C	1061	0.231625206	3.899172739	-0.111383104	0.604657885	1.894578881	1.193372324	27	7.2	NA	5595800	0.31	6	0.860714286	0.813242784	0.542277691	0.588845117	0.491603053
BROS2C	726	0.088739773	2.271466149	-0.080215582	0.008465778	1.935104246	0.257514192	26	8.96	NA	3904600	9.7	28	0.959703643	0.867528271	NA	NA	NA
BROS2D	841	0.131792738	2.130040323	-0.049531044	0.021888743	1.788218438	0.240875646	26	8.96	NA	3904600	9.7	28	0.959703643	0.867528271	NA	NA	NA
BROS3B	1248	0.043501417	4.171580774	0.082446512	0.720120158	2.340441927	1.063134718	26	9.11	NA	3904600	6.2	28	0.959703643	0.867528271	NA	NA	NA
BRRP1A	1174	0.130342232	3.75264315	-0.102199148	0.552534533	1.993352675	1.047769812	25	7	NA	20847500	0.62	NA	0.947916667	0.93097561	0.344680851	0.337704918	0.914893617
BRRP2B	1158	0.219676106	3.984320651	-0.108328507	0.642636798	2.051905281	1.123515121	25	7	NA	20847500	0.64	NA	0.947916667	0.93097561	0.344680851	0.337704918	0.914893617
BRRP3A	1148	0.178690426	3.6511247	-0.122257104	0.50632718	2.073343191	0.877234719	25	7	NA	20847500	1.15	NA	0.947916667	0.93097561	0.344680851	0.337704918	0.914893617
CAON1C	1119	0.009151197	3.41470966	0.070585111	0.489700527	2.238540988	0.669459235	18	7.12	0.636626981	6036800	2.69	7.6	0.989473684	0.935344828	0.997156398	0.966666667	0.975510204
CAON2C	1012	0.026996363	3.251366924	0.061965977	0.448125753	2.073985313	0.711063974	19	7.28	0.2357	6036800	2.57	7.6	0.989473684	0.935344828	0.997156398	0.966666667	0.975510204
CAON4AC	1002	0.145230797	2.605240188	-0.127039667	0.280598349	1.796525233	0.462582016	21	7.56	0.686464996	6036800	1.7	2	NA	0.945454545	NA	NA	NA
CAON4BC	1015	0.09657488	3.118969228	-0.075235585	0.33883645	2.119829166	0.598581229	21	7.38	0.580019474	6036800	3.32	2	NA	0.945454545	NA	NA	NA
CHBU1A	1114	0.137826746	4.200038806	0.154622104	0.65451073	2.289571685	1.182134151	13	7.4	NA	1924700	2	19	0.998903509	0.793129771	0.99610687	NA	0.918617021
CHBU1B	1085	0.049092265	4.530052329	0.12356078	0.693537865	2.402181892	1.339374225	13	7.4	NA	1924700	2	19	0.998903509	0.793129771	0.99610687	NA	0.918617021
CHBU1C	1091	0.086883875	4.166194648	0.153650576	0.677489767	2.270659439	1.143667584	13	7.4	NA	1924700	2	19	0.998903509	0.793129771	0.99610687	NA	0.918617021
CLVPM1	1017	0.055251568	2.794288526	-0.09059458	0.406517248	1.671676101	0.658225981	22	7.71	0.858250798	7164400	0.57	1.93	0.98989899	0.90960452	NA	0.493333333	0.673333333
CLVPM2	915	0.032788688	2.756692975	-0.085244187	0.395511458	1.647548236	0.657442865	22	7.71	0.858250798	7164400	1.89	1.93	0.98989899	0.90960452	NA	0.493333333	0.673333333
CLVPM3	959	0.031273061	2.7759458	-0.076196851	0.408030994	1.63565263	0.682830316	22	7.71	0.858250798	7164400	0.59	1.93	0.98989899	0.90960452	NA	0.493333333	0.673333333
CLVPT1	772	0.042186805	2.424851326	-0.08103142	0.241243744	1.78284249	0.367939665	22	7.71	0.891260444	7164400	0.21	1.93	0.98989899	0.90960452	NA	0.493333333	0.673333333
CLVPT2	946	0.047086745	2.858368865	-0.084106772	0.399110989	1.790915483	0.615139891	22	7.71	0.891260444	7164400	1.97	1.93	0.98989899	0.90960452	NA	0.493333333	0.673333333
CLVPT3	1217	0.071922094	3.636471916	0.084423609	0.594593736	2.017780446	0.969923562	22	7.71	0.891260444	7164400	1.76	1.93	0.98989899	0.90960452	NA	0.493333333	0.673333333
CNBJ3C	1033	0.148597309	4.722129458	-0.015010407	0.81996419	2.48773284	1.191174671	28.1	7.17	0.333493566	21639100	6.28	5	0.948571429	0.934444444	NA	NA	NA
CNBJ4C	1341	0.180698823	4.087084001	-0.127905298	0.55472375	2.178784613	1.200170945	28.1	7.04	0.327462168	21639100	3.92	12.3	0.977272727	0.933333333	NA	NA	NA
CNBJ6BC	1154	0.233459726	5.171106082	-0.097461178	0.873956691	2.843623405	1.255374391	28.1	7.24	0.12779618	21639100	6.66	10	0.995	0.942857143	0.991666667	0.6	0.815384615
CNCD1C	1198	0.148505312	4.608848648	-0.077721708	0.579177147	2.581601531	1.333683476	25.32	6.99	0.079138968	14219700	4.8	16	0.9	0.9	0.714285714	0.5	0.666666667
CNCD2C	1245	0.285448132	4.69410199	-0.097275799	0.631503253	2.314088004	1.589107297	25.32	7.19	0.088731145	14219700	0.5	18	0.95	0.925	0.833333333	0.75	0.875
CNCD3C	1270	0.212195764	4.434381723	-0.093427528	0.767895117	2.366158126	1.111051129	25.32	6.88	0.006771369	14219700	2.12	26	0.837837838	0.913333333	0.75	0.5	0.854166667
CNCD4C	1372	0.158737298	4.366535885	-0.122939853	0.728230804	2.231742316	1.217234604	25.32	6.93	0.19047817	14219700	6.8	13	0.955388889	0.953428571	0.9	0.666666667	0.925
CNCQ1C	1256	0.169383885	4.349881258	-0.048728827	0.634969508	2.294267239	1.25404485	29.72	7.5	0.115067275	30009800	1.2	20	0.959375	0.942222222	0.9875	0.555555556	0.928125
CNCQ2C	1302	0.159886044	3.984400879	-0.068074516	0.662298458	2.211021492	0.976977267	29.72	6.82	0.07745797	30009800	0.12	21	0.909090909	0.903225806	0.916666667	0.625	0.92
CNCQ4C	1146	0.348373041	4.512705779	-0.125324922	0.76351921	2.323880664	1.19215281	29.72	7	0.127248049	30009800	3.02	NA	0.971666667	0.917857143	0.991304348	0.625	0.937142857
CNDL1AC	1122	0.209682056	3.05726549	-0.078287616	0.48390413	1.983681311	0.432058281	24.28	7.5	0.013473593	5922400	5.8	30	0.975	0.875	NA	NA	NA
